,Date,Ticker,Mentions,Rank,Sentiment
507,2020-02-10,MSFT,641,1,0.0712659906
508,2020-02-11,MSFT,1315,1,0.0373427376
509,2020-02-12,MSFT,976,1,0.0243206967
510,2020-02-13,MSFT,740,1,0.0273251351
511,2020-02-14,MSFT,474,2,0.0321166667
512,2020-02-15,MSFT,64,2,0.0758078125
513,2020-02-16,MSFT,19,3,0.1811368421
514,2020-02-17,MSFT,56,2,0.1068196429
515,2020-02-18,MSFT,448,4,0.0096401786
516,2020-02-19,MSFT,484,4,-0.0139216942
517,2020-02-20,MSFT,955,4,-0.0613639791
518,2020-02-21,MSFT,477,1,-0.0318163522
519,2020-02-22,MSFT,49,4,0.018855102
520,2020-02-23,MSFT,98,2,-0.0124163265
521,2020-02-24,MSFT,353,3,0.0518110482
522,2020-02-25,MSFT,256,3,0.0210347656
523,2020-02-26,MSFT,315,3,-0.040832381
524,2020-02-27,MSFT,317,4,-0.0221369085
525,2020-02-28,MSFT,284,5,0.0169433099
526,2020-02-29,MSFT,53,2,0.1784339623
527,2020-03-01,MSFT,53,6,0.1328698113
528,2020-03-02,MSFT,81,4,-0.0056061728
529,2020-03-03,MSFT,40,7,-0.02928
530,2020-03-04,MSFT,36,5,-0.0330444444
531,2020-03-05,MSFT,36,12,-0.1100027778
532,2020-03-06,MSFT,41,5,-0.0079634146
533,2020-03-07,MSFT,34,4,-0.0072647059
534,2020-03-08,MSFT,48,15,0.0720625
535,2020-03-09,MSFT,73,5,0.0916150685
536,2020-03-10,MSFT,28,14,0.0070964286
537,2020-03-11,MSFT,47,12,0.1441361702
538,2020-03-12,MSFT,92,7,-0.0127858696
539,2020-03-13,MSFT,155,8,0.014623871
540,2020-03-14,MSFT,41,10,0.0198707317
541,2020-03-15,MSFT,39,19,0.0594820513
542,2020-03-16,MSFT,164,9,0.0654329268
543,2020-03-17,MSFT,99,14,0.0855040404
544,2020-03-18,MSFT,149,13,0.1265369128
545,2020-03-19,MSFT,103,16,0.0493446602
546,2020-03-20,MSFT,121,13,0.0834578512
547,2020-03-21,MSFT,34,10,0.0785294118
548,2020-03-22,MSFT,46,10,-0.0476282609
549,2020-03-23,MSFT,61,24,0.0768360656
550,2020-03-24,MSFT,50,29,0.184994
551,2020-03-25,MSFT,62,16,0.0625677419
552,2020-03-26,MSFT,53,17,0.1045716981
553,2020-03-27,MSFT,38,22,-0.0314052632
554,2020-03-28,MSFT,21,5,0.1358857143
555,2020-03-29,MSFT,36,6,0.0625416667
556,2020-03-30,MSFT,165,4,0.0936472727
557,2020-03-31,MSFT,119,4,0.0370193277
558,2020-04-01,MSFT,29,8,0.0884655172
559,2020-04-02,MSFT,18,14,-0.0073944444
560,2020-04-03,MSFT,4,38,-0.4174
561,2020-04-04,MSFT,6,14,-0.1699
562,2020-04-05,MSFT,24,13,-0.0839291667
563,2020-04-06,MSFT,27,11,0.1862074074
564,2020-04-07,MSFT,71,10,0.1016422535
565,2020-04-08,MSFT,65,9,-0.0183707692
566,2020-04-09,MSFT,70,13,0.0463957143
567,2020-04-10,MSFT,12,26,0.0480166667
568,2020-04-11,MSFT,12,14,0.33105
569,2020-04-12,MSFT,20,23,0.1757
570,2020-04-13,MSFT,100,10,0.052694
571,2020-04-14,MSFT,238,8,0.1041243697
