,Date,Ticker,OTC_Short,OTC_Total,DPI
765,2019-08-01,MSFT,5274828,10701956,0.4928844783
766,2019-07-31,MSFT,3480804,10394788,0.3348605089
767,2019-07-30,MSFT,1414324,3769855,0.3751666841
768,2019-07-29,MSFT,1945993,4826142,0.4032191759
769,2019-07-26,MSFT,2302745,4864630,0.4733648808
770,2019-07-25,MSFT,2115824,5171680,0.4091173468
771,2019-07-24,MSFT,2203673,5416870,0.4068166672
772,2019-07-23,MSFT,3152146,6111415,0.5157800608
773,2019-07-22,MSFT,4048055,8011487,0.5052813541
774,2019-07-19,MSFT,9512659,16597747,0.5731295338
775,2019-07-18,MSFT,4074055,8547070,0.4766610078
776,2019-07-17,MSFT,1700441,3821076,0.4450162729
777,2019-07-16,MSFT,2247645,6827147,0.3292217086
778,2019-07-15,MSFT,1526204,4026505,0.3790393902
779,2019-07-12,MSFT,2165174,4644890,0.4661410712
780,2019-07-11,MSFT,2741481,6760227,0.4055309089
781,2019-07-10,MSFT,2022722,6288685,0.3216446682
782,2019-07-09,MSFT,1673175,4960060,0.3373295888
783,2019-07-08,MSFT,1583601,4319864,0.3665858462
784,2019-07-05,MSFT,1837556,4382367,0.4193067354
785,2019-07-03,MSFT,1662117,4188135,0.3968632816
786,2019-07-02,MSFT,1556558,4161986,0.37399405
787,2019-07-01,MSFT,2144853,6051050,0.3544596392
788,2019-06-28,MSFT,1606348,4262517,0.3768543328
789,2019-06-27,MSFT,1571741,4086197,0.3846464084
790,2019-06-26,MSFT,2335803,5410191,0.4317413193
791,2019-06-25,MSFT,2949782,8862374,0.3328433217
792,2019-06-24,MSFT,2129935,5124531,0.4156351089
793,2019-06-21,MSFT,2264781,6183996,0.3662326108
794,2019-06-20,MSFT,4021795,7682722,0.5234856865
795,2019-06-19,MSFT,1889751,5069507,0.3727682001
796,2019-06-18,MSFT,2516963,6221570,0.4045543167
797,2019-06-17,MSFT,1572162,3721824,0.4224170729
798,2019-06-14,MSFT,1518483,4216309,0.3601450937
799,2019-06-13,MSFT,1889707,4416032,0.4279196799
800,2019-06-12,MSFT,2091586,4281937,0.4884672521
801,2019-06-11,MSFT,2324861,6224252,0.3735165286
802,2019-06-10,MSFT,3504971,8128946,0.4311716427
803,2019-06-07,MSFT,4443261,9586662,0.4634836401
804,2019-06-06,MSFT,2601342,5077374,0.5123400403
805,2019-06-05,MSFT,2999471,5766364,0.520166781
806,2019-06-04,MSFT,2913831,6727535,0.4331201547
807,2019-06-03,MSFT,3426315,8487928,0.4036691876
808,2019-05-31,MSFT,2474035,5427876,0.4558016801
809,2019-05-30,MSFT,1870189,4029380,0.4641381552
810,2019-05-29,MSFT,2213134,4667011,0.4742080102
811,2019-05-28,MSFT,2042819,4222606,0.4837815794
812,2019-05-24,MSFT,1561073,3483040,0.4481926708
813,2019-05-23,MSFT,2557618,5236765,0.4883965578
814,2019-05-22,MSFT,1818536,3625436,0.5016047725
815,2019-05-21,MSFT,1538728,3444352,0.4467394738
816,2019-05-20,MSFT,1526031,5569624,0.2739917452
817,2019-05-17,MSFT,1728025,5925849,0.2916080042
818,2019-05-16,MSFT,2533811,7245499,0.349708281
819,2019-05-15,MSFT,2269441,5788636,0.3920510808
820,2019-05-14,MSFT,2902563,6219726,0.4666705575
821,2019-05-13,MSFT,2215276,7031964,0.3150294854
822,2019-05-10,MSFT,2365367,6655088,0.3554223475
823,2019-05-09,MSFT,1811745,5602600,0.3233757541
824,2019-05-08,MSFT,1597537,5476232,0.2917219358
825,2019-05-07,MSFT,2499696,8004477,0.3122872363
826,2019-05-06,MSFT,2037911,5748943,0.3544844678
827,2019-05-03,MSFT,2948514,9306790,0.3168132084
828,2019-05-02,MSFT,3383983,7522151,0.4498690601
829,2019-05-01,MSFT,1886783,6379724,0.2957468066
